"title","year","rating","genre"
"Fortress 2",1999,4.2,"Action"
"Krypskyttere",1982,3.6,"Action"
"Smokey and the Bandit",1977,6.3,"Action"
"Outland",1981,6.3,"Action"
"Coastwatcher",1989,5.4,"Action"
"Devastator, The",1985,5,"Action"
"Minion, The",1998,3.2,"Action"
"Lek",2000,7.2,"Action"
"Thing, The",1982,7.8,"Action"
"Blue Streak",1999,5.8,"Action"
"Knockin' On Heaven's Door",1997,7.5,"Action"
"Libertine",1986,7.4,"Action"
"Jidu zhongfan",1998,5.8,"Action"
"Yellowbeard",1983,5.3,"Action"
"Bridge Too Far, A",1977,7,"Action"
"Heat",1995,7.9,"Action"
"Blind Justice",1994,5.1,"Action"
"Snitch",1998,6.2,"Action"
"Xiong zhong",1982,4.8,"Action"
"Doomsdayer",2000,4.3,"Action"
"Romeo Must Die",2000,5.8,"Action"
"Sexual Intent",1994,3.7,"Action"
"D.I.L.",2002,5.7,"Action"
"Fearless Tiger",1994,2.9,"Action"
"Lunarcop",1994,2.6,"Action"
"Flash and the Firecat",1976,3,"Action"
"Running on Empty",1982,4.8,"Action"
"Kenka karate kyokushinken",1975,5.3,"Action"
"Dick Barton Strikes Back",1949,4.6,"Action"
"Farz",1967,5.8,"Action"
"Xi chu bawang",1994,6.3,"Action"
"Viva Knievel!",1977,2.6,"Action"
"Take, The",1974,5.1,"Action"
"Rolling Vengeance",1987,4.5,"Action"
"Speed Demon",2003,2.6,"Action"
"Eye of the Eagle",1986,4,"Action"
"Peacekeeper, The",1997,4.6,"Action"
"Xi Zang xiao zi",1992,6,"Action"
"Prey of the Chameleon",1992,4.6,"Action"
"Invisible Terrorists",1976,5.7,"Action"
"Shoot to Kill",1988,6.4,"Action"
"Act of War",1998,3.5,"Action"
"Score",1995,6.2,"Action"
"Terminal Rush",1995,2.9,"Action"
"Mag Wheels",1977,3.8,"Action"
"Checkered Flag",1990,4.8,"Action"
"Memorial Day",1998,3.5,"Action"
"Escape Velocity",1998,3.7,"Action"
"Da sha xing yu xiao mei tou",1978,3.9,"Action"
"Shatter",1974,4.2,"Action"
"Try Seventeen",2002,6.1,"Romance"
"Weg!",2002,5.8,"Romance"
"Pozegnanie z Maria",1993,7,"Romance"
"Different Loyalty, A",2004,5,"Romance"
"Ergenis, O",1997,3.9,"Romance"
"You Light Up My Life",1977,4.1,"Romance"
"Rok spokojnego slonca",1984,7.7,"Romance"
"Berkeley Square",1933,6.9,"Romance"
"Nouvelle-France",2004,5.9,"Romance"
"Kill the Man",1999,4.8,"Romance"
"Mariages",2001,6.9,"Romance"
"Paris, mon petit corps est bien las de ce grand monde",2000,5.7,"Romance"
"Color of Evening, The",1994,5.4,"Romance"
"Io no",2003,5,"Romance"
"Barretts of Wimpole Street, The",1957,5.6,"Romance"
"Seductor, El",1995,3.8,"Romance"
"Nezhnost'",1967,7.2,"Romance"
"St. Elmo's Fire",1985,5.9,"Romance"
"She's All That",1999,5.5,"Romance"
"Schinderhannes, Der",1958,6.4,"Romance"
"Black Beauty",1946,5.7,"Romance"
"Jewel Robbery",1932,7.3,"Romance"
"Force of Arms",1951,6.1,"Romance"
"Denei shoujo Ai",1992,8.7,"Romance"
"Puteri gunung ledang",2004,7.6,"Romance"
"Quatrilho, O",1995,7.3,"Romance"
"Sunday",1997,7.1,"Romance"
"Two Days with Juliet",2004,9.6,"Romance"
"Angels & Insects",1995,6.9,"Romance"
"Bollywood Queen",2002,4.4,"Romance"
"Khwahish",2003,2.6,"Romance"
"Morocco",1930,7.4,"Romance"
"Fast Company",1938,6.7,"Romance"
"Yanks",1979,6,"Romance"
"Philadelphia Story, The",1940,8.2,"Romance"
"Cinedictum",2002,7,"Romance"
"Debuut, Het",1977,6.1,"Romance"
"Ena koritsi gia dio",1963,7.5,"Romance"
"After the Dance",1935,2.2,"Romance"
"Bachelor Mother",1939,7.5,"Romance"
"Carefree",1938,7.1,"Romance"
"Tom Dick and Harry",1941,6.6,"Romance"
"Four-Eyed Monsters",2005,6.9,"Romance"
"Versprechen, Das",1995,7,"Romance"
"No Small Affair",1984,5.1,"Romance"
"Nebe a dudy",1941,8.5,"Romance"
"City Lights",1931,8.5,"Romance"
"Mimi wo sumaseba",1995,7.9,"Romance"
"Garde du corps, Le",1984,4.4,"Romance"
"Hitch",2005,6.8,"Romance"
"Versteck, Das",1977,5.5,"Romance"
"Toki wo kakeru shoujo",1983,7.4,"Romance"
"Common Law, The",1931,5.7,"Romance"
"Rx",2004,7.6,"Romance"
"Mondscheintarif",2001,7,"Romance"
"Mr. Wonderful",1993,5.7,"Romance"
"Shi qi sui de tian kong",2004,6.7,"Romance"
"Romans o vlyublyonnykh",1974,6.7,"Romance"
"Meet Me in Las Vegas",1956,5.5,"Romance"
"Just a Little Harmless Sex",1999,5,"Romance"
"Stakeout",1987,6.5,"Romance"
"Lighthouse Hill",2004,5.3,"Romance"
"Ich denke oft an Piroschka",1955,6.9,"Romance"
"Baroud",1933,5,"Romance"
"Rome Adventure",1962,5.7,"Romance"
"976-WISH",1997,1.8,"Romance"
"Bostonians, The",1984,5.8,"Romance"
"Gothic Romance, A",2004,8.2,"Romance"
"Sergeant Pepper",2004,6.4,"Romance"
"Quality Street",1937,6.6,"Romance"
"Cri de la soie, Le",1996,6.4,"Romance"
"Vaniglia e cioccolato",2004,6.3,"Romance"
"Ultimo harem, L'",1981,5.9,"Romance"
"Hook, Line and Sinker",1930,6.5,"Romance"
"Homme de ma vie, L'",1992,5.4,"Romance"
"Camilla",1994,6.2,"Romance"
"Laisse tes mains sur mes hanches",2003,5.8,"Romance"
"Jeans",1998,4.5,"Romance"
"Beat the Devil",1953,6.6,"Romance"
"Perekryostok",1999,5,"Romance"
"Morena Clara",1954,5.7,"Romance"
"Last Tycoon, The",1976,6.2,"Romance"
"Kiss Me Kate",1953,7.3,"Romance"
"Hawthorne of the U.S.A.",1919,7.2,"Romance"
"Eat a Bowl of Tea",1989,6.3,"Romance"
"Weihnachtsfieber",1997,5.7,"Romance"
"Desirable",1934,6.2,"Romance"
"Parsley Days",2000,5.6,"Romance"
"Fast and Loose",1930,6.4,"Romance"
"Rheinsberg",1967,6.6,"Romance"
"Sex Sells: The Making of Touche",2005,4.7,"Romance"
"Quem Matou Anabela?",1956,4.1,"Romance"
"Rainmaker, The",1956,7.1,"Romance"
"Fureur",2003,5.3,"Romance"
"Decameron Nights",1953,5,"Romance"
"Princ a Vecernice",1979,6.6,"Romance"
"Pakeezah",1971,7,"Romance"
"Blindfold",1965,6.2,"Romance"
"Little Women",1949,7,"Romance"
"Kurenai no buta",1992,7.9,"Romance"
